"Variables ->","pct4_y_a","pct4_cons_a","pct4_gdem_a","pct4_inv_a","pct4_exp_a","pct4_imp_a","pct4_cpi_eop","pct4_cpi_pa","dl_py_pa","pct4_s_eop","pct4_s_pa","pct4_z_pa","def_a","def_inc_grants_a","grev_a","oexp_a","gdem_y_a","debt_y_a","debt_fcy_a","debt_lcy_a"
"Comments ->","","","","","","","","","","","","","Budget deficit, % of GDP","","Govt. rev., % of GDP","Other govt. exp., % to GDP","","","",""
"2005Y",,,,,,,,,,,,,,,,,21.9034939152496122,,,
"2006Y",20.6175579013548642,20.0887564821719486,7.5168531808344774,24.3984342349815684,23.8012880935031959,14.1997869518107400,8.3131323545663065,6.0468150915622267,,-2.0298459741178618,-3.4955914865007607,-0.1598316298051863,9.4675733440436147,0.2277327427327827,11.7280658985411232,2.6980084326984168,19.5076970109655683,,,
"2007Y",7.9205431965685094,3.0183044598768447,11.8903751645101146,22.2055592785527800,44.9795467743135262,13.3348075416042207,7.6643895722108653,9.0988889419623717,11.8307360341162777,-0.8886382806816471,-0.9020133410101074,-2.8744056076318927,10.6551345989034179,1.9629644669696900,11.3651769837934395,2.6889640515179667,20.1330611832818853,,,
"2008Y",11.2099450477622824,7.9456396030992842,6.6992261430591391,43.4532373938266332,-11.8633936494113570,-3.0708920054432802,22.0998749596351729,15.3648078479114147,17.7028305237611931,1.7891698220227710,0.1449393021776579,-4.0805222216153219,10.3838565621193268,0.1489828737778376,13.3287958614315620,5.5160715634463120,19.3236653018141844,,,
"2009Y",6.3659927559615710,9.9037982522561876,9.5675515232030648,4.1222998133712565,-2.7255221783507224,18.4615614563211174,5.6972137247489201,10.6754110012160872,3.5183899494237707,2.7888111143707022,3.8405769167996340,-7.5072531378942280,11.3686249241644433,0.9731377610146974,11.7785494754716709,4.2799255798668199,19.7784325588332131,,,
"2010Y",7.2429662504109480,5.5654848095303464,12.6864847312212383,4.0194540743201586,8.5249596611219403,2.3450289751548432,0.1349755296590871,2.3380566922161385,1.8643928537522392,3.9585162375708194,2.7262460411353153,4.1608250566275515,12.4543262499883145,0.2463362698822156,12.0672671688826743,4.4296256975021908,20.7438948217100361,,,
"2011Y",7.9217506541597267,8.9566992301462278,10.4938468971391181,2.8041618789426863,23.6995690792274942,17.9278942077788770,7.7848257681936843,5.6643983267536306,7.0592255153774843,1.6799300465286393,2.8278938625738554,2.5686173610570826,12.1388446257053104,1.9218982861753966,13.1302183028879007,4.6079579472110055,21.2213297027268375,,,
"2012Y",8.6770239316647668,6.5619537327984609,10.0538283545706300,38.2126900999195982,9.0998128575836503,18.7664682559917217,4.5594315239852818,6.3181109728813531,3.8756296984139524,4.3111749789758562,2.4604014521429853,-0.2380239677494735,9.6553605163562821,2.2016010909091976,13.8941488521653476,3.0713496801581686,21.2020832597039011,,,
"2013Y",4.7813787518468125,4.2566810715260104,2.2484075335615863,28.6198103642754518,19.4282734138167008,9.1895968598638653,4.3967061334935664,4.2250373894319608,3.6772254665677107,5.9215608451725643,5.3328412723309668,1.1755611015542691,8.5622017918802946,0.2232709252658137,15.9382174629992903,5.8989737698387739,19.8756921527247599,,,
"2014Y",6.1729858945043325,6.4618993333897414,36.1570451106035620,-12.3370551064029215,7.8913906694426750,15.1544572268693791,1.0139333771642214,1.7943381994411105,2.5146819324572913,3.8456143416545103,5.4232329059473123,4.9998546069436713,13.1930463714674637,5.7482774549920386,16.0505690866095421,4.7281641452285257,24.6232083524817469,27.7600888786810351,21.7511415905718231,6.0089472881092130
"2015Y",8.8134403605174505,12.0541421302837044,7.2812642802148169,27.1354777922103949,6.5073949398456996,22.9818936597225978,4.0208134001375129,2.5073051495477223,2.1893801630587717,7.2266725059376995,5.6399518176549215,-5.0211034735318520,10.6785296519776871,4.1806287441178416,17.5881212865283345,4.1660014850449292,24.1705199246361317,32.0274467424199969,25.0967021180378822,6.9307446243821147
"2016Y",6.0457922370925345,4.2892156255145437,-2.6876138457821312,29.8552748999405217,12.7392206143781088,7.5843112357189284,7.0442513617835090,5.7152553113613038,7.5645530932659710,10.0009452781750952,9.4129385035646429,0.9184132111819530,8.4743159854992776,4.1851769611704679,17.9081814330000526,4.5489149390212953,22.1698444488053639,36.5719060407336300,29.4502715635644812,7.1216344771691507
"2017Y",3.8801508699415912,-0.8082262475125184,5.6423304944773740,-5.5184617814275612,42.5296064255054631,5.7789363233261710,2.2583419438654744,4.8981544734687006,4.2314658490120616,3.3041588141655893,5.4505653641452412,2.5257836731567203,9.1042349270247289,5.1097182867711091,17.8847896894098781,4.8011601645730453,22.4818089032611077,43.5329945064609944,34.7481987039980709,8.7847958024629200
"2018Y",8.4940226711429183,9.6534204393039609,12.6826973637769065,-6.5527033118928095,10.9932011671568475,7.9908287943908931,0.3221538385988794,1.3653505349682398,-1.8388276104001904,3.8466447262171926,3.5597146719149322,8.1506509848454698,9.4404256466300236,4.5904941408574782,19.0082022159933999,5.3142396998609955,23.3361607451530020,45.6993483733162762,36.6739388420532180,9.0254095312630618
"2019Y",9.4606257872849433,2.0011493475890951,15.9044895332266236,42.5354153527538017,19.5642191650159063,17.8301035720601497,6.1123578232921147,2.4317693871791768,5.7201862765531324,4.9156368490070008,4.5241704747565770,0.7120407315508785,12.1277520547103279,7.9665586839948261,19.0329747155351150,6.6892843735387810,24.5580487928934872,50.8717509491716058,40.4956295803924888,10.3761213687791063
