"Variables ->","pct4_y_a","pct4_cons_a","pct4_gdem_a","pct4_inv_a","pct4_exp_a","pct4_imp_a","pct4_cpi_eop","pct4_cpi_pa","dl_py_pa","pct4_s_eop","pct4_s_pa","pct4_z_pa","def_a","def_inc_grants_a","grev_a","oexp_a","gdem_y_a","debt_y_a","debt_fcy_a","debt_lcy_a"
"Comments ->","","","","","","","","","","","","","Budget deficit, % of GDP","","Govt. rev., % of GDP","Other govt. exp., % to GDP","","","",""
"2005Y",,,,,,,,,,,,,,,,,21.9410230816230332,,,
"2006Y",20.6362694259520474,20.1849640114751949,7.3746443628183727,24.4606263606649961,23.7638635141118151,14.2936696046812557,8.3274216438038167,6.0500247518681931,,-2.0422355381675601,-3.5311654573280862,-0.3030590326771474,9.4675733833541464,0.2277328188724852,11.7280658827117534,2.6823803946588649,19.5104901932736006,,,
"2007Y",7.9205431974122824,3.0183044598773527,11.6540345543659463,22.2055592785528830,44.9795467743122543,13.3348075416041674,7.6644084420468488,9.0988868466517872,11.8307361355976539,-0.8886382806813060,-0.9020133410099440,-2.8748371288903805,10.6551348645650883,1.9629647638109602,11.3651769431862544,2.7133301578076754,20.1098818198645652,,,
"2008Y",11.2099450498603836,7.9456396030985594,6.7700399655303691,43.4532373938268819,-11.8633936494121137,-3.0708920054438629,22.0998811578386238,15.3648064702423461,17.7028305947128075,1.7891698220236663,0.1449393021783116,-4.0824253408660560,10.3838562402832260,0.1489824207188315,13.3287951757754364,5.5162714206556291,19.3179038768275184,,,
"2009Y",6.3659927877667393,9.9037982522561450,9.5191151592111503,4.1222998133712672,-2.7255221783519801,18.4615614563208048,5.6972148956114808,10.6754106885786726,3.5183898359801518,2.7888111143702758,3.8405769168003090,-7.5074332344243722,11.3686281020608924,0.9731413235414430,11.7785473586996687,4.2894829375681880,19.7651750641643602,,,
"2010Y",7.2429662512952504,5.5654848095307479,12.8553732723824439,4.0194540743193734,8.5249596611209846,2.3450289751540403,0.1349761737147190,2.3380567901513629,1.8643920651752346,3.9585162375701373,2.7262460411349423,4.1604185756466840,12.4543283255102395,0.2463392614174893,12.0672631343591075,4.3970743056004462,20.7671931671219134,,,
"2011Y",7.9217505877537491,8.9566992301455741,10.3094161781287461,2.8041618789407785,23.6995690792252915,17.9278942077771966,7.7848301630429262,5.6643987663676292,7.0592243018388956,1.6799300465310125,2.8278938625751984,2.5688351380980130,12.1388292947872394,1.9218897492789797,13.1302134651813986,4.6193997385459582,21.2087743090904581,,,
"2012Y",8.6770235471709682,6.5619537327973170,10.0853532657230147,38.2126900999194561,9.0998128575833803,18.7664682559914056,4.5594345241391636,6.3181085219279929,3.8756281133419570,4.3111749789767231,2.4604014521434650,-0.2379565729246238,9.6553659144976791,2.2016105094249712,13.8941131350306364,3.0484848165946694,21.2137476900763779,,,
"2013Y",4.7813786183701907,4.2566810715234134,2.2293409324169353,28.6198103642746418,19.4282734138164663,9.1895968598625259,4.3967187719924539,4.2250353211163478,3.6772299497292860,5.9215608451729906,5.3328412723318870,1.1757369302670426,8.5621842850070955,0.2232884289147572,15.9381729983378584,5.8806434518030164,19.8893039033680168,,,
"2014Y",6.1729924804106702,6.4618993333901749,36.2386590841226806,-12.3370551064017846,7.8913906694415701,15.1544572268699156,1.0138170754796221,1.7943089079757151,2.5146594485723046,3.8456143416549082,5.4232329059477884,5.0002693594686178,13.1931952520595122,5.7484608970892239,16.0505212380514521,4.6803774000114746,24.6528585419064648,27.7600888786810351,21.7511415905718231,6.0089472881092130
"2015Y",8.8134744366130455,12.0541421302841023,7.0784221371652336,27.1354777922105477,6.5073949398447546,22.9818936597229779,4.0207313474407158,2.5073149224399884,2.1894333856245538,7.2266725059388932,5.6399518176559305,-5.0209970453568253,10.6784627681168089,4.1804039416710612,17.5877816787206704,4.1588140458977989,24.1744120440691859,32.0274467424199969,25.0967021180378822,6.9307446243821147
"2016Y",6.0458906641762304,4.2892156255147853,-2.8283018126013637,29.8552748999413957,12.7392206143795903,7.5843112357203175,7.0442130264705298,5.7152759619573423,7.5647903709875273,10.0009452781733899,9.4129385035634954,0.9182784710328065,8.4736530512096770,4.1840769665067672,17.9077151289940062,4.5658350476036293,22.1473039160991441,36.5719060407336300,29.4502715635644812,7.1216344771691507
"2017Y",3.8801420025918851,-0.8082262475116764,5.5654600625855544,-5.5184617814261543,42.5296064255052571,5.7789363233266329,2.2582684735354235,4.8982054726977360,4.2318348508403973,3.3041588141647225,5.4505653641448468,2.5258689511314145,9.1045991113168725,5.1111406668436148,17.8843008058833171,4.8309380233434034,22.4568941545324101,43.5329945064609944,34.7481987039980709,8.7847958024629200
"2018Y",8.4940769201937094,9.6534204393027458,12.7145296615034376,-6.5527033118928060,10.9932011671573520,7.9908287943915219,0.3223978976630804,1.3653950177139791,-1.8385734999569279,3.8466447262172068,3.5597146719140902,8.1505929050908001,9.4390205104572349,4.5903094411714758,19.0065897152916392,5.3331902821000758,23.3115738464642632,45.6993483733162762,36.6739388420532180,9.0254095312630618
"2019Y",9.4608966665154099,2.0011493475883277,15.8809173343678296,42.5354153527545549,19.5642191650145136,17.8301035720602563,6.1115029346886018,2.4315923828462651,5.7199580221560504,4.9156368490087061,4.5241704747581650,0.7123484390142636,12.1236172193510150,7.9652869312525674,19.0296250612140909,6.7060495177132076,24.5407236492390233,50.8717509491716058,40.4956295803924888,10.3761213687791063
