"Variables ->","pct4_y_a","pct4_cons_a","pct4_gdem_a","pct4_inv_a","pct4_exp_a","pct4_imp_a","pct4_cpi_eop","pct4_cpi_pa","dl_py_pa","pct4_s_eop","pct4_s_pa","pct4_z_pa","def_a","def_inc_grants_a","grev_a","oexp_a","gdem_a","debt_y_a","debt_fcy_a","debt_lcy_a"
"Comments ->","","","","","","","","","","","","","Budget deficit, % of GDP","","Govt. rev., % of GDP","Other govt. exp., % to GDP","","","",""
"1996Y",,,,,,,,,,1.2252540280907942,22.0172428527992743,,,,,,,,,
"1997Y",,,,,,,,,,-1.3053749701933293,-1.3719061117167306,,,,,,,,,
"1998Y",,,,,,,,,,6.9168726172329720,3.8565389169080753,,,,,,,,,
"1999Y",,,,,,,,,,5.3826201457743528,7.0011803396316576,,,,,,,,,
"2000Y",8.3570210346787910,12.5865324103209488,4.4002134537930617,38.4210616572791110,0.7575757575757569,24.4604316546762632,12.4367433368705704,2.2082955645625542,3.0944646801118978,24.0896092722802990,16.9107770576392866,8.6589917514026347,,,,,,,,
"2001Y",8.4994753410283295,3.5215204024594771,-0.9016339660215172,22.2747601179026802,39.8496240601503757,-5.2023121387283267,-9.8574405533346177,1.5347180578410970,1.6708598022118650,7.3603277817234192,13.1356513563963890,6.1782752632246307,,,,,,,,
"2002Y",13.1528046421663483,13.3369330453563695,9.5376829534507870,15.4105034120665110,4.8387096774193505,9.3495934959349611,9.4356757969294769,-1.0444952428669110,-4.7884487417802433,9.9640527477483865,7.6764915626514663,11.4578673061293816,,,,,,,,
"2003Y",2.2222222222222143,-5.8599333015721733,6.5475936449106209,22.0514576536039684,20.5128205128205074,-12.6394052044609637,10.2266860983774919,11.7604314033826931,20.0356059382011580,13.5924436203754606,13.1847193141506782,15.7989885807340631,,,,,,,,
"2004Y",7.4414715719063551,6.4271255060728727,10.6568748488994771,10.3910301844924327,31.9148936170212671,21.0638297872340452,11.3863053142893911,11.9812065729674444,12.1649310741349552,-0.2468598019755408,6.8212422755763438,6.7863197664605712,,,,,,,,
"2005Y",9.3774319066147971,8.8920589633856295,12.5423534346182031,12.4613603860136415,10.9677419354838648,11.7750439367310999,4.5324393832261611,9.2191431520321885,8.3292231497543554,-2.6556089199855859,-3.3903176443103140,-6.4001768988395860,,,,,21.7901915439373752,,,
"2006Y",28.2817502668089702,29.6069868995633207,26.2170060042890682,38.5915589225172937,17.4418604651162781,24.8427672955974792,11.3418954878989666,8.8196728697455367,0.5844074406688975,-0.6716101597769475,-0.9793968791566243,-9.4906062132251137,9.4329697305672617,0.5977854435745424,11.7494453116067898,2.8295977715064433,19.3594487973558635,,,
"2007Y",7.8764870254882879,2.9568914118439564,11.8847793394849024,22.7796468050792136,44.8195981246096551,13.0180357940791396,7.6832992815466294,9.1185192275739571,11.2495534343085382,-0.8886382801426063,-0.9020133857651130,-2.7941902297336147,10.5950744698194423,1.9186855513511050,11.3771519744721221,2.7960694824112231,20.0223270856165207,,,
"2008Y",11.1859773840485559,7.8936669777732291,6.7054147649024536,43.3620192995859242,-11.8239762342540580,-2.9635743045795944,22.1904518957027683,15.3805292124587609,17.4461094554578082,1.7891696986321426,0.1449393169008745,-2.7671986427299147,10.3261733339172110,0.4001942336881894,13.3225490688109574,5.5176637597806097,19.2866823348040910,,,
"2009Y",6.3644999171072527,9.8960719633691134,9.5522960486982580,4.4260506431931397,-2.6543224415239122,18.4956543178784614,5.7862746207062665,10.6680108825914282,3.4808694316830255,2.7888111821266381,3.8405769035369852,-9.1083115228562850,14.1699312670121031,3.8221378224822851,5.7105660378300493,1.0285025392445837,19.7587648750366540,,,
"2010Y",7.2981932203564917,5.5828109550740859,12.7096022126197035,4.3498915658119088,8.6775230502624066,2.2912456162012624,0.1925403681310556,2.3294607229259192,1.8960884822028810,3.9585162373401817,2.7262460278583034,3.3548644293891705,12.4806609684627325,0.3389446128219076,12.0603360250973317,4.3860986219307598,20.7918157616253261,,,
"2011Y",7.9580484082264693,9.0189867989079247,10.1695174955966543,2.7948022745287431,23.7281321646305585,17.9630091581723725,7.8266488637674270,5.6563141606556071,7.0704267844600324,1.6799300351926227,2.8278938706034982,2.6511119158135141,12.1872342603619401,1.9758148316564887,13.1104734421851745,4.6430398049745856,21.2127945290831548,,,
"2012Y",8.6975733175011172,6.5312626919298449,10.4164572282407253,38.6458148907822192,9.1403295737955794,18.9436716483826402,4.5961448515485781,6.3168319328564095,3.9623677304752292,4.3111749847448921,2.4604014508469216,-2.4073566483757718,9.7972378871695867,2.2545738709397805,13.8801728482689271,3.1785506696988191,21.2124614632747885,,,
"2013Y",4.7726874769753849,4.2883466717331178,1.7337939175901624,27.6023487605635509,19.4347970141313837,9.1343451419608819,4.4435638338468975,4.2245366819796288,3.6010507037797588,5.9215608451726132,5.3328412766440962,1.0273865332147802,8.6005257673583522,0.2289828090846516,15.9238826198137033,5.9157539627335050,19.8818907734527528,,,
"2014Y",6.1597839269212082,6.4330846105595860,36.6542463397774583,-12.4586090874550663,7.9454589712521395,15.2050400589080255,1.0781113867848191,1.7950784346764781,2.5192957370983677,3.8456143366511153,5.4232329059549453,6.0383569342351562,13.2047274516228192,5.7498645502204919,16.0437685352345696,4.6988854621307752,24.6405440442375294,28.6830727423096619,21.7472733469690986,6.9357993953405650
