"Variables ->","obs_l_ystar_gap","obs_rstar_tnd","obs_l_cpistar","obs_l_enerstar","obs_l_foodstar","obs_l_rp_enerstar_gap","obs_l_rp_foodstar_gap","obs_istar","obs_l_s","obs_l_y","obs_l_y_agr","obs_l_cons","obs_l_inv","obs_l_gdem","obs_l_exp","obs_l_imp","obs_l_cpi","obs_l_cpi_food","obs_l_cpi_ener","obs_i","obs_prem_d","obs_l_md","obs_grants_y","obs_grev_y","obs_def_y"
"Comments ->","","combined CBO data & proj","","","","","","","","","","","","","","","","","","","","","","",""
"2003Q1",-1.1706709536229667,0.5257272174028630,-3.0138813312893373,344.4361017033320422,453.4742979026647163,5.4322177256685791,1.3565134240377006,1.3181408924232756,624.1825650748950238,709.3599037262362117,543.3960147792676025,684.5317088502391698,,,481.2351272560301823,552.5333632496691507,374.8856301621311786,365.0487375532327405,351.3774486612604164,9.0114889442260324,5.7730237821721264,501.2186641217357419,,,
"2003Q2",-1.5000306563638368,0.4495976319852661,1.2862423070042566,327.8593581712180480,455.9013802788692828,-18.3269355170203880,-0.6253837756845542,1.1909137211355860,627.1276670086825789,711.0863396912178587,544.4484949998036427,685.8647882919553922,,,492.4658853861313332,552.0587189170980764,377.9055017576482101,362.2882330690198955,351.1296099558143737,9.3247447774024117,5.7296736459122375,504.5945931406967020,,,
"2003Q3",-1.6968239394066877,0.3980601237035064,3.9347354985693501,334.6321050205642678,455.0059683459349458,-17.1997167422505299,-4.2651785070596020,1.1612974297847163,631.1695001948035042,710.6084515664879291,545.3257889257040461,684.1293457110646159,,,495.2095563656487798,554.0557301355634081,382.0867942538233706,359.8762302086483373,351.7478572077358763,9.8366111744866735,4.5618785449727071,510.6853504759858993,,,
"2003Q4",-1.7622000254793697,0.3708227655547711,7.5920718436480765,337.9409403217474619,463.5753613878545707,-20.6699544793827386,0.5557736394156336,1.2198297331669485,634.6062059679665026,714.5399005090662286,546.0092348329181959,688.7720538034842548,,,493.2737055164892581,565.0049506025417259,384.7467324423025161,358.5311598356349236,353.7026606771946149,10.4239887989123137,4.6791646644266400,514.1420964434302050,,,
"2004Q1",-1.4160097504676408,0.3667797964181735,10.8018336460380056,346.8847499719256007,466.5850630231570904,-18.1815483115884717,0.2638784407920980,1.1710497023025708,636.7495752396566786,717.7438921628219077,545.6903636326308060,694.2836235167401355,,,508.3782154155105104,569.4238485009947226,387.2622122911410543,358.6975238643284456,356.9552866151783519,10.3097958003567296,4.4459606354047398,515.1425739053311190,,,
"2004Q2",-1.1229862300901665,0.3837758634725638,12.4554807642953023,357.2012057033011843,472.1996284882608279,-12.8745708202038713,4.1263683787265109,1.5243229412693733,636.2557648066053844,717.3293831035905441,546.6696727183023086,695.3793002633397009,,,501.6702718840305124,569.5791266849125805,389.3027299827073193,361.1969725529078801,361.2750773586449213,10.3188157796168909,4.4685721210889096,516.0435816959319482,,,
"2004Q3",-0.8812317910027403,0.4185451937503122,14.6316778373992076,370.1306962253188999,463.0197285687161752,-5.5622189220511018,-7.3407782204407681,1.9546712199763443,635.6509142591247610,720.0431780592812174,546.4474795730222922,693.8713605594693945,,,516.5186295007147237,573.8597619352772199,392.5166185929139147,369.1500896136554388,366.6021564314230545,10.5290513207711953,4.2295811161983927,519.8466396376052217,,,
"2004Q4",-0.6881468934673549,0.4673316530317721,16.8409033679509150,375.3694315465713203,464.4511451894326797,-6.0256354916638202,-8.2508647348690261,2.4489014629940975,634.3590409647989645,720.9882390943191695,547.5941769979432365,694.1292567466177843,,,519.7460802398599071,576.4361080440528440,395.8024705455533763,377.0652074831773461,371.4272032807986079,10.6609735058258277,4.3618978188432624,525.1890925088663380,,,
"2005Q1",-0.6661084274989015,0.5256784779176423,18.3957459330615727,383.0851016272190463,471.0985911020453045,-3.3731171396910327,-3.3157858041140003,3.0282165146972098,633.3136337826758790,726.2553191609799796,552.3029700227365311,699.6967705092148435,,,517.4177698709999049,587.4246957304095531,398.4576250755803244,377.5818476307233595,383.3885641764183561,6.2473891255354221,8.8643621740200480,533.5735943978337446,,,
"2005Q2",-0.6032697459635870,0.5883348119943979,19.7994902256876451,392.7964099503113857,470.0362752941177860,1.4511229524436544,-5.9634791571886581,3.4345708578954457,632.4378078088689108,727.8085636532221088,553.6308966577424826,701.5465231595959494,,,513.7747515065286734,588.8415113204223417,400.2860426821659985,379.6034395646303778,388.5164491323470202,7.4365081955306733,6.8551300228953691,539.4612514734778870,,,
